11:04:56 - Build: Release Dedicated
11:04:56 - Mount&Blade Warband WSE2 version: 1.174 1094 Apr 26 2023 16:13:23
11:04:56 - Havok version: 2013.1.0-r1
11:04:56 - WSE netcode version: 10
11:04:56 - Command line: --config-path server_config.ini -r PW.txt --module PW_4.5.5S
11:04:56 - Initializing timer...
11:04:56 - Collecting system info...
11:04:56 - Dumping system info...
11:04:56 - -- OS: Windows Server 2016
11:04:56 -  - Version: 10.0.20348
11:04:56 -  - Arch: x64
11:04:56 - -- CPU: AMD EPYC 7K62 48-Core Processor (AuthenticAMD)
11:04:56 -  - Count: 1 (HT)
11:04:56 - -- Memory: 8192 MB
11:04:56 -  - Available: 431 MB
11:04:56 - Initializing language...
11:04:56 - WARNING: Duplicate language string ui_retreated_battle
11:04:56 - WARNING: Duplicate language string ui_midnight
11:04:56 - WARNING: Duplicate language string ui_chest
11:04:56 - WARNING: Duplicate language string ui_group_rename
11:04:56 - WARNING: Duplicate language string ui_music_volume
11:04:56 - WARNING: Duplicate language string ui_sound_volume
11:04:56 - WARNING: Duplicate language string ui_mouse_sensitivity
11:04:56 - WARNING: Duplicate language string ui_invert_mouse_y_axis
11:04:56 - WARNING: Duplicate language string ui_enabled
11:04:56 - WARNING: Duplicate language string ui_disabled
11:04:56 - WARNING: Duplicate language string ui_damage_to_player
11:04:56 - WARNING: Duplicate language string ui_reduced_to_1_over_4_easiest
11:04:56 - WARNING: Duplicate language string ui_reduced_to_1_over_2_easy
11:04:56 - WARNING: Duplicate language string ui_damage_to_friends
11:04:56 - WARNING: Duplicate language string ui_reduced_to_1_over_2_easiest
11:04:56 - WARNING: Duplicate language string ui_reduced_to_3_over_4_easy
11:04:56 - WARNING: Duplicate language string ui_normal
11:04:56 - WARNING: Duplicate language string ui_combat_ai
11:04:56 - WARNING: Duplicate language string ui_combat_speed
11:04:56 - WARNING: Duplicate language string ui_good
11:04:56 - WARNING: Duplicate language string ui_average_caps
11:04:56 - WARNING: Duplicate language string ui_poor
11:04:56 - WARNING: Duplicate language string ui_faster
11:04:56 - WARNING: Duplicate language string ui_slower
11:04:56 - WARNING: Duplicate language string ui_control_block_direction
11:04:56 - WARNING: Duplicate language string ui_automatic_recommended
11:04:56 - WARNING: Duplicate language string ui_manual_easy
11:04:56 - WARNING: Duplicate language string ui_manual_hard
11:04:56 - WARNING: Duplicate language string ui_by_mouse_movement
11:04:56 - WARNING: Duplicate language string ui_control_attack_direction
11:04:56 - WARNING: Duplicate language string ui_lance_control
11:04:56 - WARNING: Duplicate language string ui_by_relative_enemy_position
11:04:56 - WARNING: Duplicate language string ui_by_inverse_mouse_movement
11:04:56 - WARNING: Duplicate language string ui_battle_size
11:04:56 - WARNING: Duplicate language string ui_show_attack_direction
11:04:56 - WARNING: Duplicate language string ui_show_targeting_reticule
11:04:56 - WARNING: Duplicate language string ui_show_names_of_friendly_troops
11:04:56 - WARNING: Duplicate language string ui_report_damage
11:04:56 - WARNING: Duplicate language string ui_report_shot_difficulty
11:04:56 - WARNING: Duplicate language string ui_difficulty_rating_percentage
11:04:56 - WARNING: Duplicate language string ui_controls
11:04:56 - WARNING: Duplicate language string ui_video_options
11:04:56 - WARNING: Duplicate language string ui_done
11:04:56 - WARNING: Duplicate language string ui_factions
11:04:56 - WARNING: Duplicate language string ui_item_itemname
11:04:56 - WARNING: Duplicate language string ui_prop_propname
11:04:56 - WARNING: Duplicate language string ui_unknown_unknownname
11:04:56 - WARNING: Duplicate language string ui_entry_point_entrypointname
11:04:56 - WARNING: Duplicate language string ui_passage_menu_item_passagename
11:04:56 - WARNING: Duplicate language string ui_plant_plantname
11:04:56 - WARNING: Duplicate language string ui_export_file_for_character_playername_already_exists_overwrite_it
11:04:56 - WARNING: Duplicate language string ui_yes
11:04:56 - WARNING: Duplicate language string ui_no
11:04:56 - WARNING: Duplicate language string ui_set_save_file_name
11:04:56 - WARNING: Duplicate language string ui_enter_new_name
11:04:56 - WARNING: Duplicate language string ui_export_character
11:04:56 - WARNING: Duplicate language string ui_import_character
11:04:56 - WARNING: Duplicate language string ui_character_playername_exported_successfully
11:04:56 - WARNING: Duplicate language string ui_character_playername_imported_successfully
11:04:56 - WARNING: Duplicate language string ui_unable_to_open_import_file
11:04:56 - WARNING: Duplicate language string ui_are_you_sure_you_want_to_import_the_character
11:04:56 - WARNING: Duplicate language string ui_unable_to_find_character_import_file
11:04:56 - WARNING: Duplicate language string ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character
11:04:56 - WARNING: Duplicate language string ui_change_skin
11:04:56 - WARNING: Duplicate language string ui_change_hair
11:04:56 - WARNING: Duplicate language string ui_change_hair_color
11:04:56 - WARNING: Duplicate language string ui_change_beard
11:04:56 - WARNING: Duplicate language string ui_tutorial
11:04:56 - WARNING: Duplicate language string ui_tutorial_face_generator
11:04:56 - WARNING: Duplicate language string ui_restore
11:04:56 - WARNING: Duplicate language string ui_cancel
11:04:56 - WARNING: Duplicate language string ui_delete
11:04:56 - WARNING: Duplicate language string ui_confirm_delete_game
11:04:56 - WARNING: Duplicate language string ui_error_removing_file
11:04:56 - WARNING: Duplicate language string ui_day_datedisplay
11:04:56 - WARNING: Duplicate language string ui_reset_changes
11:04:56 - WARNING: Duplicate language string ui_weapon_proficiencies
11:04:56 - WARNING: Duplicate language string ui_skills
11:04:56 - WARNING: Duplicate language string ui_attributes
11:04:56 - WARNING: Duplicate language string ui_enter_name_here
11:04:56 - WARNING: Duplicate language string ui_edit_face
11:04:56 - WARNING: Duplicate language string ui_statistics
11:04:56 - WARNING: Duplicate language string ui_next
11:04:56 - WARNING: Duplicate language string ui_prev
11:04:56 - WARNING: Duplicate language string ui_learn
11:04:56 - WARNING: Duplicate language string ui_question_saving_policy
11:04:56 - WARNING: Duplicate language string ui_saving_policy_realistic
11:04:56 - WARNING: Duplicate language string ui_saving_policy_nonrealistic
11:04:56 - WARNING: Duplicate language string ui_tutorial_character_generation
11:04:56 - WARNING: Duplicate language string ui_str
11:04:56 - WARNING: Duplicate language string ui_agi
11:04:56 - WARNING: Duplicate language string ui_int
11:04:56 - WARNING: Duplicate language string ui_cha
11:04:56 - WARNING: Duplicate language string ui_at_learning_limit
11:04:56 - WARNING: Duplicate language string ui_not_enough_skill_points_to_learn
11:04:56 - WARNING: Duplicate language string ui_strength
11:04:56 - WARNING: Duplicate language string ui_agility
11:04:56 - WARNING: Duplicate language string ui_intelligence
11:04:56 - WARNING: Duplicate language string ui_charisma
11:04:56 - WARNING: Duplicate language string ui_not_enough_attributetype_to_learn_this_skill
11:04:56 - WARNING: Duplicate language string ui_explanation_one_handed_weapon
11:04:56 - WARNING: Duplicate language string ui_explanation_two_handed_weapon
11:04:56 - WARNING: Duplicate language string ui_explanation_polearm
11:04:56 - WARNING: Duplicate language string ui_explanation_archery
11:04:56 - WARNING: Duplicate language string ui_explanation_crossbow
11:04:56 - WARNING: Duplicate language string ui_explanation_throwing
11:04:56 - WARNING: Duplicate language string ui_explanation_firearms
11:04:56 - WARNING: Duplicate language string ui_explanation_strength
11:04:56 - WARNING: Duplicate language string ui_explanation_agility
11:04:56 - WARNING: Duplicate language string ui_explanation_intelligence
11:04:56 - WARNING: Duplicate language string ui_explanation_charisma
11:04:56 - WARNING: Duplicate language string ui_level
11:04:56 - WARNING: Duplicate language string ui_xp
11:04:56 - WARNING: Duplicate language string ui_next_level_at
11:04:56 - WARNING: Duplicate language string ui_health_player
11:04:56 - WARNING: Duplicate language string ui_health
11:04:56 - WARNING: Duplicate language string ui_attribute_points
11:04:56 - WARNING: Duplicate language string ui_skill_points
11:04:56 - WARNING: Duplicate language string ui_weapon_points
11:04:56 - WARNING: Duplicate language string ui_mission_losses_none
11:04:56 - WARNING: Duplicate language string ui_mission_losses_wounded
11:04:56 - WARNING: Duplicate language string ui_mission_losses_killed
11:04:56 - WARNING: Duplicate language string ui_party_losses
11:04:56 - WARNING: Duplicate language string ui_casualties_sustained
11:04:56 - WARNING: Duplicate language string ui_advantage_change
11:04:56 - WARNING: Duplicate language string ui_overall_battle_casualties
11:04:56 - WARNING: Duplicate language string ui_advantage_outnumbered
11:04:56 - WARNING: Duplicate language string ui_advantage_major_disadvantage
11:04:56 - WARNING: Duplicate language string ui_advantage_slight_disadvantage
11:04:56 - WARNING: Duplicate language string ui_advantage_balanced
11:04:56 - WARNING: Duplicate language string ui_advantage_fair_advantage
11:04:56 - WARNING: Duplicate language string ui_advantage_greatly_favored
11:04:56 - WARNING: Duplicate language string ui_tactical_advantage
11:04:56 - WARNING: Duplicate language string ui_order_group
11:04:56 - WARNING: Duplicate language string ui_question_save_changes
11:04:56 - WARNING: Duplicate language string ui_yes_save
11:04:56 - WARNING: Duplicate language string ui_no_discard_changes
11:04:56 - WARNING: Duplicate language string ui_everyone_control
11:04:56 - WARNING: Duplicate language string ui_everyone_around_control
11:04:56 - WARNING: Duplicate language string ui_others_control
11:04:56 - WARNING: Duplicate language string ui_question_give_up_fight
11:04:56 - WARNING: Duplicate language string ui_give_up
11:04:56 - WARNING: Duplicate language string ui_keep_fighting
11:04:56 - WARNING: Duplicate language string ui_question_leave_area
11:04:56 - WARNING: Duplicate language string ui_cant_retreat_there_are_enemies_nearby
11:04:56 - WARNING: Duplicate language string ui_question_retreat_battle
11:04:56 - WARNING: Duplicate language string ui_retreat
11:04:56 - WARNING: Duplicate language string ui_talk
11:04:56 - WARNING: Duplicate language string ui_duel
11:04:56 - WARNING: Duplicate language string ui_mount
11:04:56 - WARNING: Duplicate language string ui_riding_skill_not_adequate_to_mount
11:04:56 - WARNING: Duplicate language string ui_dismount
11:04:56 - WARNING: Duplicate language string ui_exit
11:04:56 - WARNING: Duplicate language string ui_door_to
11:04:56 - WARNING: Duplicate language string ui_open
11:04:56 - WARNING: Duplicate language string ui_equip
11:04:56 - WARNING: Duplicate language string ui_baggage
11:04:56 - WARNING: Duplicate language string ui_access_inventory
11:04:56 - WARNING: Duplicate language string ui_passage
11:04:56 - WARNING: Duplicate language string ui_go
11:04:56 - WARNING: Duplicate language string ui_retreat_battle
11:04:56 - WARNING: Duplicate language string ui_leave_area
11:04:56 - WARNING: Duplicate language string ui_reports
11:04:56 - WARNING: Duplicate language string ui_camp
11:04:56 - WARNING: Duplicate language string ui_terrain
11:04:56 - WARNING: Duplicate language string ui_quests
11:04:56 - WARNING: Duplicate language string ui_inventory
11:04:56 - WARNING: Duplicate language string ui_character
11:04:56 - WARNING: Duplicate language string ui_party
11:04:56 - WARNING: Duplicate language string ui_paused
11:04:56 - WARNING: Duplicate language string ui_click_left_button_to_cancel_wait
11:04:56 - WARNING: Duplicate language string ui_late_night
11:04:56 - WARNING: Duplicate language string ui_dawn
11:04:56 - WARNING: Duplicate language string ui_early_morning
11:04:56 - WARNING: Duplicate language string ui_morning
11:04:56 - WARNING: Duplicate language string ui_noon
11:04:56 - WARNING: Duplicate language string ui_afternoon
11:04:56 - WARNING: Duplicate language string ui_late_afternoon
11:04:56 - WARNING: Duplicate language string ui_dusk
11:04:56 - WARNING: Duplicate language string ui_evening
11:04:56 - WARNING: Duplicate language string ui_level_limit_reached
11:04:56 - WARNING: Duplicate language string ui_explanation_level_limit
11:04:56 - WARNING: Duplicate language string ui_time_limit_reached
11:04:56 - WARNING: Duplicate language string ui_explanation_time_limit
11:04:56 - WARNING: Duplicate language string ui_target_lost
11:04:56 - WARNING: Duplicate language string ui_waiting
11:04:56 - WARNING: Duplicate language string ui_travelling_to
11:04:56 - WARNING: Duplicate language string ui_following
11:04:56 - WARNING: Duplicate language string ui_accompanying
11:04:56 - WARNING: Duplicate language string ui_running_from
11:04:56 - WARNING: Duplicate language string ui_patrolling
11:04:56 - WARNING: Duplicate language string ui_patrolling_around
11:04:56 - WARNING: Duplicate language string ui_holding
11:04:56 - WARNING: Duplicate language string ui_travelling
11:04:56 - WARNING: Duplicate language string ui_fighting_against
11:04:56 - WARNING: Duplicate language string ui_speed_equals
11:04:56 - WARNING: Duplicate language string ui_defenders
11:04:56 - WARNING: Duplicate language string ui_prisoners
11:04:56 - WARNING: Duplicate language string ui_1_hour
11:04:56 - WARNING: Duplicate language string ui_n_hours
11:04:56 - WARNING: Duplicate language string ui_between_hours
11:04:56 - WARNING: Duplicate language string ui_combatants
11:04:56 - WARNING: Duplicate language string ui_party_size
11:04:56 - WARNING: Duplicate language string ui_party_size_between
11:04:56 - WARNING: Duplicate language string ui_merchant
11:04:56 - WARNING: Duplicate language string ui_return
11:04:56 - WARNING: Duplicate language string ui_no_cost
11:04:56 - WARNING: Duplicate language string ui_rename
11:04:56 - WARNING: Duplicate language string ui_use
11:04:56 - WARNING: Duplicate language string ui_destroy
11:04:56 - WARNING: Duplicate language string ui_destructible_target
11:04:56 - WARNING: Duplicate language string ui_tutorial_inventory
11:04:56 - WARNING: Duplicate language string ui_head_armor
11:04:56 - WARNING: Duplicate language string ui_body_armor
11:04:56 - WARNING: Duplicate language string ui_leg_armor
11:04:56 - WARNING: Duplicate language string ui_encumbrance
11:04:56 - WARNING: Duplicate language string ui_you_dont_have_value
11:04:56 - WARNING: Duplicate language string ui_merchant_cant_afford_value
11:04:56 - WARNING: Duplicate language string ui_merchant_pay_whatever
11:04:56 - WARNING: Duplicate language string ui_merchant_think_of_something_else
11:04:56 - WARNING: Duplicate language string ui_dumping_value_items
11:04:56 - WARNING: Duplicate language string ui_dumping_value_item
11:04:56 - WARNING: Duplicate language string ui_question_slaughter_food_and_eat
11:04:56 - WARNING: Duplicate language string ui_money_value
11:04:56 - WARNING: Duplicate language string ui_dump
11:04:56 - WARNING: Duplicate language string ui_outfit
11:04:56 - WARNING: Duplicate language string ui_arms
11:04:56 - WARNING: Duplicate language string ui_horse
11:04:56 - WARNING: Duplicate language string ui_food
11:04:56 - WARNING: Duplicate language string ui_reclaim_your_sold_goods
11:04:56 - WARNING: Duplicate language string ui_return_your_bought_goods
11:04:56 - WARNING: Duplicate language string ui_polearm_no_shield
11:04:56 - WARNING: Duplicate language string ui_polearm
11:04:56 - WARNING: Duplicate language string ui_two_handed
11:04:56 - WARNING: Duplicate language string ui_two_handed_one_handed
11:04:56 - WARNING: Duplicate language string ui_one_handed
